sprint_velocity,task_completion_rate,team_utilization,days_remaining,is_delayed
29,41,88,9,1
41,68,107,3,1
60,41,56,13,1
45,61,81,13,0
48,58,53,10,1
32,79,111,2,1
37,43,94,14,1
40,72,67,14,0
63,78,88,6,0
57,69,111,7,1
30,71,69,11,0
19,76,98,13,1
56,56,117,2,1
27,95,51,11,1
43,50,75,4,1
20,68,83,7,1
27,82,117,12,1
39,59,100,7,1
24,48,63,9,1
50,68,89,4,0
45,97,83,11,0
49,92,84,11,0
39,42,70,9,1
28,76,105,4,1
48,99,71,1,0
34,59,105,14,1
33,76,89,10,0
44,92,105,10,1
17,59,60,5,1
33,53,86,10,1
48,90,62,9,0
37,80,65,14,0
65,87,63,12,0
56,80,50,13,0
28,47,119,9,1
46,57,103,2,1
60,94,85,1,0
43,82,59,5,0
46,56,78,9,1
44,56,120,13,1
39,87,75,3,0
33,45,68,1,1
58,47,56,9,1
47,48,81,7,1
28,84,80,6,1
56,100,118,3,1
38,93,110,14,1
63,68,115,11,1
51,62,75,12,0
49,81,61,1,0
42,73,107,8,1
48,75,78,7,0
42,60,90,10,0
54,78,115,2,1
37,68,99,9,1
50,72,73,14,0
50,47,118,3,1
26,48,109,6,1
20,66,106,6,1
54,94,83,6,0
45,98,120,9,1
39,49,58,9,1
39,96,104,7,1
52,76,57,9,0
18,84,104,13,1
60,85,78,13,0
45,92,102,8,1
44,41,114,10,1
39,79,102,6,1
40,42,91,9,1
45,46,62,13,1
61,92,63,11,0
47,79,109,14,1
57,68,80,11,0
21,78,115,6,1
60,56,71,12,1
48,80,61,7,0
61,57,87,12,1
51,55,105,8,1
33,40,63,7,1
28,48,70,13,1
65,97,55,11,0
46,48,78,13,1
42,47,107,8,1
55,73,69,13,0
41,92,114,9,1
42,90,66,13,0
34,64,54,7,0
64,65,101,9,1
46,62,86,11,0
21,71,89,2,1
19,50,98,6,1
59,67,52,10,0
24,71,89,2,1
26,64,52,1,1
51,62,95,7,0
59,80,96,9,1
54,57,120,3,1
30,78,82,9,0
36,85,99,3,1
57,71,119,11,1
16,72,76,1,1
44,43,105,13,1
15,89,101,8,1
24,94,68,4,1
16,46,98,5,1
59,52,118,14,1
18,89,116,9,1
24,70,74,9,1
32,57,108,10,1
16,42,96,7,1
48,74,117,6,1
21,74,69,7,1
59,84,86,1,0
54,51,74,14,1
52,47,57,2,1
26,67,81,10,1
34,50,88,4,1
62,84,111,7,1
36,99,88,10,0
33,50,80,8,1
23,70,64,1,1
34,49,55,14,1
46,59,101,11,1
29,79,79,5,1
52,53,58,13,1
59,77,115,13,1
30,85,115,7,1
53,66,82,3,0
56,92,59,8,0
37,45,92,5,1
59,51,96,14,1
65,65,116,9,1
45,98,60,1,0
27,63,60,8,1
28,61,106,1,1
25,80,65,14,1
64,60,69,4,0
30,76,83,4,0
41,57,89,12,1
17,92,77,2,1
38,100,119,12,1
20,53,53,7,1
31,41,65,6,1
21,82,69,11,1
18,79,59,7,1
58,70,74,7,0
35,60,72,12,0
20,74,72,4,1
30,62,71,3,0
44,56,69,7,1
33,43,77,14,1
22,89,52,6,1
51,58,99,14,1
50,90,110,11,1
42,89,109,8,1
55,87,65,7,0
51,96,94,11,0
48,67,94,7,0
34,91,89,1,0
55,95,112,11,1
40,46,91,13,1
57,69,68,2,0
31,68,54,4,0
37,52,105,3,1
60,76,95,6,0
27,43,62,5,1
60,44,52,14,1
55,49,73,13,1
44,60,53,10,0
52,55,60,5,1
50,84,90,14,0
56,51,72,3,1
15,90,104,5,1
54,76,92,8,0
21,43,58,10,1
44,77,75,8,0
60,49,115,3,1
47,68,83,3,0
59,63,75,4,0
27,67,62,5,1
41,62,117,6,1
43,84,106,11,1
35,48,55,7,1
52,68,120,4,1
57,91,99,8,1
26,72,58,3,1
26,60,98,13,1
19,63,81,14,1
43,95,55,1,0
50,76,62,10,0
15,48,97,10,1
61,93,97,12,1
50,63,116,13,1
61,75,55,7,0
23,41,86,10,1
58,93,98,5,1
56,40,95,2,1
47,55,68,2,1
48,68,50,13,0
44,93,56,12,0
61,86,60,13,0
44,40,79,13,1
30,66,119,3,1
57,63,96,6,1
34,69,60,14,0
15,43,76,4,1
35,40,79,10,1
43,85,87,6,0
46,52,76,1,1
58,41,64,13,1
58,55,84,8,1
15,66,51,1,1
25,64,79,3,1
30,81,80,5,0
29,42,53,7,1
47,80,82,12,0
57,100,58,3,0
32,45,57,14,1
27,75,53,2,1
50,65,67,1,0
50,79,99,3,1
27,56,116,10,1
15,59,74,9,1
34,66,67,14,0
22,98,115,5,1
24,41,69,6,1
47,80,78,1,0
32,74,70,14,0
58,91,76,14,0
42,50,103,14,1
29,77,113,5,1
55,75,88,14,0
39,59,96,14,1
55,80,74,6,0
55,77,78,6,0
43,100,81,11,0
19,85,86,5,1
18,98,88,11,1
60,51,95,14,1
15,51,114,2,1
23,95,72,11,1
37,64,88,14,0
51,54,111,5,1
29,74,88,6,1
38,53,80,4,1
30,85,79,8,0
26,70,96,10,1
49,46,116,10,1
15,77,83,12,1
33,100,52,5,0
37,76,106,8,1
41,53,65,9,1
31,91,88,14,0
58,64,69,13,0
20,96,99,12,1
47,60,120,3,1
44,54,106,13,1
29,41,84,4,1
17,52,110,9,1
17,54,83,1,1
46,43,63,12,1
60,95,77,8,0
40,49,71,11,1
28,41,66,4,1
39,71,100,3,1
42,50,66,9,1
47,65,113,6,1
63,47,99,1,1
21,61,79,5,1
33,45,50,3,1
31,93,89,7,0
64,68,108,1,1
36,55,79,13,1
27,96,62,7,1
23,51,114,7,1
43,81,66,4,0
20,49,118,14,1
53,52,90,12,1
32,40,80,11,1
50,99,60,12,0
39,82,62,11,0
25,71,105,7,1
23,78,56,12,1
61,100,85,1,0
65,52,84,5,1
54,85,120,13,1
49,75,72,13,0
22,58,60,1,1
60,88,50,3,0
33,45,62,11,1
37,60,104,8,1
32,81,105,12,1
64,45,56,12,1
59,82,86,4,0
54,85,103,5,1
34,40,98,8,1
15,100,113,6,1
51,93,82,2,0
38,40,103,10,1
31,71,60,2,0
65,59,103,13,1
16,53,115,1,1
26,93,74,5,1
46,88,98,14,1
41,50,89,8,1
39,73,78,10,0
46,41,59,4,1
50,41,113,9,1
52,93,96,9,1
40,57,67,9,1
60,69,104,4,1
24,86,68,7,1
33,70,60,4,0
31,51,91,14,1
24,85,78,13,1
36,73,102,14,1
36,61,63,4,0
21,96,118,10,1
16,98,68,9,1
55,51,66,8,1
45,96,55,4,0
21,94,62,9,1
52,100,97,3,1
49,56,89,7,1
42,79,111,9,1
57,47,104,14,1
32,68,78,3,0
44,68,71,14,0
34,65,110,4,1
58,50,97,10,1
64,63,86,11,0
60,76,108,1,1
64,80,98,12,1
36,64,108,7,1
38,65,63,10,0
24,56,115,9,1
32,66,98,4,1
40,51,103,3,1
20,75,101,9,1
30,89,95,14,0
16,97,101,11,1
24,94,99,4,1
35,84,70,9,0
24,48,69,8,1
42,46,79,12,1
43,58,118,5,1
17,49,78,14,1
58,41,65,13,1
48,85,78,3,0
29,67,96,5,1
63,79,119,8,1
21,96,115,11,1
44,99,106,3,1
37,91,105,7,1
57,96,86,14,0
59,63,112,13,1
35,54,92,1,1
49,95,114,3,1
65,40,89,4,1
61,95,77,6,0
48,52,61,2,1
51,82,112,2,1
62,92,94,6,0
29,92,64,14,1
30,93,99,10,1
19,97,107,11,1
44,72,70,12,0
49,96,79,11,0
24,80,96,11,1
48,46,115,9,1
22,46,76,4,1
25,77,58,4,1
35,77,60,11,0
27,63,118,4,1
35,41,98,1,1
23,79,120,11,1
29,49,71,2,1
63,45,82,1,1
57,98,93,13,0
42,100,100,14,1
50,56,117,13,1
45,96,73,5,0
63,94,104,12,1
26,58,56,3,1
65,77,88,1,0
53,100,71,6,0
50,70,66,9,0
31,41,80,12,1
21,85,119,11,1
44,72,97,6,1
40,67,66,13,0
37,46,114,3,1
63,76,98,7,1
59,86,106,6,1
59,73,94,2,0
36,92,81,6,0
19,43,114,6,1
33,55,69,13,1
59,85,106,5,1
40,62,119,1,1
16,51,58,13,1
19,88,50,4,1
44,92,67,4,0
41,75,76,12,0
57,66,79,7,0
32,80,92,7,0
59,98,100,11,1
43,43,64,10,1
55,69,58,5,0
63,63,60,10,0
19,91,110,6,1
29,46,108,10,1
56,66,113,8,1
24,47,117,4,1
28,56,79,11,1
15,100,84,6,1
15,67,51,6,1
21,50,110,10,1
36,66,119,10,1
27,88,85,10,1
30,67,55,4,0
22,98,72,10,1
28,83,66,8,1
39,51,108,4,1
38,61,62,11,0
48,46,56,11,1
40,63,104,13,1
36,47,63,1,1
27,58,96,11,1
32,77,80,12,0
56,61,118,1,1
22,89,70,11,1
49,52,116,1,1
39,42,54,13,1
15,74,117,3,1
26,98,116,14,1
38,62,52,2,0
58,65,76,5,0
20,41,102,6,1
26,75,73,2,1
30,46,87,6,1
35,87,56,10,0
49,82,76,14,0
24,54,87,12,1
64,78,64,4,0
48,45,50,14,1
21,51,75,9,1
64,48,105,5,1
64,63,60,2,0
26,93,119,7,1
62,58,117,5,1
15,54,114,11,1
52,57,82,4,1
40,54,90,3,1
25,99,62,1,1
51,74,101,5,1
47,74,100,13,1
62,75,70,14,0
60,97,55,3,0
48,50,65,12,1
35,53,105,4,1
40,78,98,4,1
19,53,57,3,1
55,93,115,5,1
52,73,110,14,1
34,51,50,4,1
25,89,54,2,1
41,94,69,4,0
46,99,80,3,0
51,47,99,12,1
18,56,119,6,1
51,82,73,2,0
57,76,78,11,0
26,99,52,12,1
41,68,102,12,1
37,100,97,7,1
63,66,105,7,1
51,78,112,10,1
18,99,119,7,1
47,44,113,3,1
23,73,79,14,1
60,87,111,1,1
38,42,105,9,1
37,63,55,1,0
31,80,60,9,0
30,64,72,4,0
38,62,95,5,0
23,100,87,9,1
23,57,105,1,1
32,80,71,3,0
20,90,98,7,1
33,74,65,10,0
16,94,57,5,1
50,63,67,8,0
50,57,110,1,1
62,97,112,13,1
24,45,60,9,1
61,75,61,13,0
62,76,108,10,1
