sprint_id,project_id,sprint_name,velocity,completion_rate,team_utilization,days_remaining,is_delayed,status
1,52,Sprint_1,24,56,92,13,1,ACTIVE
2,63,Sprint_2,47,93,92,13,0,COMPLETED
3,21,Sprint_3,52,95,59,8,0,COMPLETED
4,81,Sprint_4,41,52,111,5,1,ACTIVE
5,18,Sprint_5,22,80,96,9,1,COMPLETED
6,30,Sprint_6,51,55,71,10,1,COMPLETED
7,87,Sprint_7,31,67,57,13,0,ACTIVE
8,82,Sprint_8,53,79,89,4,0,ACTIVE
9,16,Sprint_9,44,63,81,11,0,ACTIVE
10,14,Sprint_10,18,89,51,7,1,ACTIVE
11,34,Sprint_11,58,47,80,14,1,COMPLETED
12,59,Sprint_12,20,66,50,2,1,ACTIVE
13,92,Sprint_13,17,41,62,4,1,ACTIVE
14,60,Sprint_14,23,74,103,10,1,ACTIVE
15,62,Sprint_15,58,77,104,1,1,COMPLETED
16,20,Sprint_16,55,84,104,11,1,COMPLETED
17,56,Sprint_17,54,50,64,12,1,COMPLETED
18,36,Sprint_18,37,100,53,10,0,COMPLETED
19,43,Sprint_19,20,51,77,7,1,ACTIVE
20,4,Sprint_20,61,72,61,3,0,COMPLETED
21,93,Sprint_21,55,66,98,10,0,COMPLETED
22,58,Sprint_22,55,50,78,1,1,ACTIVE
23,28,Sprint_23,49,96,98,10,1,COMPLETED
24,69,Sprint_24,24,75,62,13,1,ACTIVE
25,59,Sprint_25,35,73,94,14,1,ACTIVE
26,37,Sprint_26,28,68,100,8,1,COMPLETED
27,64,Sprint_27,19,87,111,7,1,ACTIVE
28,74,Sprint_28,60,98,82,1,0,COMPLETED
29,29,Sprint_29,36,46,87,12,1,ACTIVE
30,3,Sprint_30,35,83,117,4,1,COMPLETED
31,22,Sprint_31,27,49,79,6,1,ACTIVE
32,61,Sprint_32,47,60,68,3,0,COMPLETED
33,36,Sprint_33,37,91,73,14,0,ACTIVE
34,6,Sprint_34,51,57,98,1,1,ACTIVE
35,46,Sprint_35,51,65,50,5,1,COMPLETED
36,50,Sprint_36,29,98,51,7,1,COMPLETED
37,69,Sprint_37,58,93,85,9,0,COMPLETED
38,74,Sprint_38,30,72,51,12,0,COMPLETED
39,7,Sprint_39,28,60,75,10,1,COMPLETED
40,9,Sprint_40,34,47,92,1,0,COMPLETED
41,35,Sprint_41,57,55,52,12,1,COMPLETED
42,66,Sprint_42,36,72,58,8,0,ACTIVE
43,20,Sprint_43,19,49,94,7,1,COMPLETED
44,31,Sprint_44,58,77,105,14,1,ACTIVE
45,31,Sprint_45,23,91,101,3,1,COMPLETED
46,31,Sprint_46,25,43,81,10,0,COMPLETED
47,55,Sprint_47,28,91,64,10,1,ACTIVE
48,18,Sprint_48,15,53,110,6,1,COMPLETED
49,92,Sprint_49,52,58,71,13,1,ACTIVE
50,52,Sprint_50,29,58,114,10,1,ACTIVE
51,81,Sprint_51,58,92,79,7,0,ACTIVE
52,44,Sprint_52,37,40,96,14,1,COMPLETED
53,33,Sprint_53,16,44,96,1,1,ACTIVE
